"Identification de la station","Nom de la station","Province/Territoire","Bassin","Latitude","Longitude","Agence d'exploitation","Calendrier d'opération","Mois de début","Mois de fin","Status"
"01BG003","CASCAPEDIA (RIVIERE) EN AVAL DU LAC CASCAPEDIA","QC","01","48.66639","-66.18944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BG004","CASCAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ANGERS","QC","01","48.31778","-65.97250","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BG005","CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY","QC","01","48.62833","-66.16806","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"01BG006","BASTIEN (RUISSEAU) EN AMONT DU PONT","QC","01","48.10972","-66.12694","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BG007","CHALEURS (BAIE DES) A CARLETON","QC","01","48.09028","-66.11611","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BG008","CASCAPEDIA (PETITE RIVIERE) A SAINT-EDGAR","QC","01","48.23083","-65.73500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"01BG009","BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX","QC","01","48.18611","-65.55861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"01BG010","CASCAPÉDIA (PETITE RIVIÈRE) À 0.9 KM RIVE DROITE AVAL  PONT-ROUTE À SAINT-EDGAR","QC","01","48.23230","-65.73410","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"01BH001","DARTMOUTH (RIVIERE) PRES DE CORTEREAL","QC","01","48.93306","-64.63556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BH002","YORK (RIVIERE) A SUNNY BANK","QC","01","48.83417","-64.62500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BH003","PORPHYRE (RUISSEAU)","QC","01","48.94583","-65.48944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"01BH005","DARTMOUTH (RIVIERE) EN AMONT DU RUISSEAU DU PAS DE DAME","QC","01","48.97972","-64.69861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"01BH007","GRANDE-RIVIERE OUEST (LA)","QC","01","48.47778","-64.52861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BH008","SAINT-JEAN (RIVIERE)","QC","01","48.77167","-64.52139","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier","JAN","DEC","Fermée"
"01BH009","YORK RIVIERE) EN AMONT DU RUISSEAU D'ARGENT","QC","01","48.83167","-64.68500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"01BH010","YORK (RIVIERE) À 1,4 KM EN AVAL DU RUISSEAU DINNER ISLAND","QC","01","48.80667","-64.92111","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"01BH011","YORK (RIVIERE) EN AVAL DU RUISSEAU DES ETROITS","QC","01","48.79833","-64.94778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"01BH012","SAINT-JEAN (RIVIERE) EN AMONT DU PONT-ROUTE 132","QC","01","48.76889","-64.51500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier","MAY","SEP","Fermée"
"02JA001","VICTORIA (LAC)","QC","02","47.83583","-77.36556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02JA003","OUTAOUAIS (RIVIERE DES) AU RESERVOIR DOZOIS","QC","02","47.61278","-77.30722","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JA005","OUTOUAIS (RIVIERE DES) EN AVAL DU BARRAGE BOURQUE","QC","02","47.61306","-77.31056","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JA006","CAPITACHOUANE (RIVIÈRE) DANS LA ZEC CAPITACHOUANE","QC","02","47.72880","-76.71460","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02JB001","OUTAOUAIS (RIVIERE DES) EN AVAL DU BARRAGE DES QUINZE","QC","02","47.59139","-79.29778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JB002","OUTAOUAIS (RIVIERE DES) EN AMONT DE LA RIVIERE KINOJEVIS","QC","02","47.92889","-78.63694","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"02JB003","KINOJEVIS (RIVIERE) EN AVAL DE LA RIVIERE VILLEMONTEL","QC","02","48.45583","-78.36111","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JB004","KINOJEVIS (RIVIERE) EN AVAL DU LAC PREISSAC","QC","02","48.40556","-78.36417","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JB005","OUTAOUAIS (RIVIERE DES) AU BARRAGE DE RAPIDE-SEPT","QC","02","47.76833","-78.31056","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB006","OUTAOUAIS (RIVIERE DES) AUX RAPIDES 2","QC","02","47.93333","-78.57722","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB008","OUTAOUAIS (RIVIERE DES) BARRAGE DES RAPIDES DES QUINZE","QC","02","47.59139","-79.29500","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB009","OUTAOUAIS (RIVIERE DES) A LA SORTIE DU LAC GRANET","QC","02","47.84250","-77.54889","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02JB010","OUTAOUAIS (RIVIERE DES) AU BARRAGE DES RAPIDES DES ILES","QC","02","47.59111","-79.32972","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB011","QUINZE (LAC DES) A LA POINTE DU PIN ROUGE","QC","02","47.57019","-79.17453","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02JB012","SIMARD (LAC) A LAFORCE","QC","02","47.53622","-78.72944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02JB013","KINOJEVIS (RIVIERE) A 0,3 KM EN AMONT DU PONT-ROUTE A CLÉRICY","QC","02","48.36667","-78.85333","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02JB017","QUINZE (LAC DES) A ANGLIERS","QC","02","47.55261","-79.23547","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02JB021","OUTAOUAIS (RIVIERE DES) CENTRALE DE PREMIERE CHUTE","QC","02","47.60000","-79.45417","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB022","OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESQUINZE","QC","02","47.59139","-79.29500","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JB023","OUTAOUAIS (RIVIERE DES) CENTRALE DE RAPIDE DESILES","QC","02","47.59111","-79.32972","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02JE001","KIPAWA (RIVIERE) EN AVAL DU BARRAGE DE KIPAWA","QC","02","47.04944","-79.28667","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JE002","GORDON (RUISSEAU) A KIPAWA","QC","02","46.77961","-78.98508","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","Fermée"
"02JE005","KIPAWA (LAC) AU BARRAGE DE KIPAWA","QC","02","46.78194","-78.98556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JE015","KIPAWA (RIVIERE) EN AVAL DE LANIEL","QC","02","47.06925","-79.31036","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","Fermée"
"02JE016","GORDON (RUISSEAU) EN AVAL DU BARRAGE DE KIPAWA","QC","02","46.77889","-78.98861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JE017","KIPAWA (LAC) A LANIEL","QC","02","47.04189","-79.26981","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02JE022","GORDON (RUISSEAU) AU LAC TEE","QC","02","46.75944","-79.04556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JE023","KIPAWA (RIVIERE) AU LAC SAIRS","QC","02","46.77778","-78.48750","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02JE025","TEMISCAMINGUE (LAC) A TEMISCAMING","QC","02","46.71844","-79.10503","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","En service"
"02JE026","TEMISCAMINGUE (LAC) A VILLE-MARIE","QC","02","47.32931","-79.44461","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","En service"
"02JE029","KIPAWA (RIVIÈRE) À 0.2 KM EN AVAL DU BARRAGE LANIEL","QC","02","47.04240","-79.27310","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02JE030","KIPAWA (LAC) À KIPAWA","QC","02","46.77990","-78.98320","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02JE031","GORDON (RUISSEAU) A LA DÉCHARGE DU LAC TEE À KIPAWA","QC","02","46.76700","-79.02790","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02KA011","DUMOINE (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS","QC","02","46.23139","-77.23139","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KA012","MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS","QC","02","46.28556","-78.31250","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KA013","MAGANASIPI (RIVIERE) AU LAC JOHNSON","QC","02","46.33167","-78.34833","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02KA014","MAGANASIPI (RIVIERE) EN AMONT DE LA RIVIERE DES OUTAOUAIS","QC","02","46.30056","-78.31694","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KC011","OUTAOUAIS (RIVIERE DES) PRES DE PORTAGE-DU-FORT","QC","02","45.61028","-76.67083","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KC017","OUTAOUAIS (RIVIERE DES) CENTRALE DE BRYSON","QC","02","45.66111","-76.63056","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02KF004","OUTAOUAIS (RIVIERE DES) A QUYON","QC","02","45.51667","-76.23056",,"Continu",,,"Fermée"
"02KG001","COULONGE (RIVIERE) PRES DE FORT-COULONGE","QC","02","45.87389","-76.68583","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02KG003","COULONGE (RIVIERE) EN AMONT DE LA RIVIERE COULONGE EST","QC","02","46.15500","-76.75778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KG005","COULONGE (RIVIERE) AU PONT TERRY-FOX QUI MENE AU CLUB DE GOLF DE PONTEFRACT","QC","02","45.90810","-76.67280","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02KH001","NOIRE (RIVIERE)","QC","02","45.97861","-76.83056","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KH002","NOIRE (RIVIERE) A WALTHAM-STATION","QC","02","45.91889","-76.92000","SOCIÉTÉ HYDROÉLECTRIQUE DE PEMBROKE","Continu",,,"Fermée"
"02KH003","NOIRE (RIVIERE)","QC","02","46.03333","-76.86583","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KH004","NOIRE (RIVIERE)","QC","02","46.28361","-77.07778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02KJ003","DUMOINE (RIVIERE) AU LAC DUMOINE","QC","02","46.82222","-77.86833","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02KJ004","DUMOINE (RIVIERE) A LA SORTIE DU LAC ROBINSON","QC","02","46.34583","-77.81556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02KJ007","KIPAWA (RIVIERE) AU LAC DUMOINE","QC","02","46.97028","-78.04250","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02LA015","OUTAOUAIS (RIVIERE DES) A HULL","QC","02","45.43142","-75.70617","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","En service"
"02LA019","OUTAOUAIS (RIVIERE DES) CENTRALE DE HULL 2","QC","02","45.42083","-75.72500","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02LB001","OUTAOUAIS (RIVIERE DES) A GRENVILLE","QC","02","45.63111","-74.60889","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu",,,"Fermée"
"02LB024","OUTAOUAIS (RIVIERE DES) AU BARRAGE DE CARILLON","QC","02","45.57000","-74.39278","COMMISSION HYDROÉLECTRIQUE DU QUÉBEC","Continu",,,"Fermée"
"02LB025","OUTAOUAIS (RIVIERE DES) A CARILLON (AVAL)","QC","02","45.56806","-74.37972","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu",,,"Fermée"
"02LB026","OUTAOUAIS (RIVIERE DES) A CARILLON (AMONT)","QC","02","45.56944","-74.38333","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu",,,"Fermée"
"02LB035","OUTAOUAIS (RIVIÈRE DES) À RIGAUD","QC","02","45.53094","-74.35131","RELEVÉS HYDROLOGIQUES DU CANADA (MDE) (CANADA)","Continu","JAN","DEC","Fermée"
"02LC001","NORD (RIVIERE DU) A SAINT-CANUT","QC","02","45.72222","-74.08472","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC002","ROUGE (RIVIERE) EN AVAL DE LA CHUTE BELL","QC","02","45.77333","-74.68389","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC003","OUEST (RIVIERE DE L') AU PONT LEGER","QC","02","45.67694","-74.40861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC004","ROUGE (RIVIERE) A LABELLE","QC","02","46.28083","-74.73583","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC005","NORD (RIVIERE DU) EN AMONT DE LA RIVIERE DONCASTER","QC","02","45.97389","-74.11028","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC006","DONCASTER (RIVIERE)","QC","02","45.96472","-74.10083","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC007","ROUGE (RIVIERE) PRES DE LA MACAZA","QC","02","46.35389","-74.77944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC008","NORD (RIVIERE DU) A 4,8 KM EN AMONT DU PONT DU C.N. A SAINT-JEROME","QC","02","45.79306","-74.01278","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC009","MASSON (LAC) AU BARRAGE MASSON","QC","02","46.03056","-74.05639","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC010","LUDGER (LAC) AU BARRAGE LUDGER","QC","02","46.11861","-74.27639","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC011","NORD (RIVIERE DU) AU BARRAGE DE LA MONTAGNE NOIRE  À LANTIER","QC","02","46.18194","-74.27722","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC012","CORNU (LAC) AU BARRAGE-CORNU","QC","02","46.09028","-74.42639","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02LC013","MANITOU (LAC) AU BARRAGE MANITOU","QC","02","46.07500","-74.33722","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC014","PAPINEAU (LAC) AU BARRAGE PAPINEAU À SAINTE-AGATHE-DES-MONTS","QC","02","46.12250","-74.29417","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC015","NORD (RIVIER DU) AU BARRAGE BRULE","QC","02","46.07778","-74.28194","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC016","SABLES (LAC DES) AU BARRAGE DES SABLES","QC","02","46.05250","-74.30917","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC017","MULETS (RIVIERE AUX) AU BARRAGE THEODORE","QC","02","45.96250","-74.24722","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC019","NORD (RUISSEAU) SUR LE CHEMIN SAINT-DOMINIQUE","QC","02","45.73667","-74.00083",,"Continu",,,"Fermée"
"02LC020","NORD (RIVIERE DU) A LACHUTE","QC","02","45.66389","-74.32222","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC021","NORD (RIVIERE DU) PRES DE SAINT-AGATHE","QC","02","46.04583","-74.25278","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC022","NORD (RIVIERE DU) A SAINT-ANDRE-EST","QC","02","45.56611","-74.33583","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC023","OUEST (RIVIERE DE L') EN AMONT DU RUISSEAU DES VASES","QC","02","45.65861","-74.40833","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC024","ROUGE (RIVIERE) A SON EMBOUCHURE","QC","02","45.56222","-74.32083","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"02LC025","SIMON (RIVIERE) A SON EMBOUCHURE","QC","02","45.91333","-74.15194","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"02LC026","BONNIEBROOK (RUISSEAU) AU LAC FIDDLER","QC","02","45.80111","-74.17111","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier","JAN","DEC","Fermée"
"02LC027","DONCASTER (RIVIERE) AU LAC ELEVE","QC","02","46.09583","-74.12194","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","En service"
"02LC028","ROUGE (RIVIERE) EN AVAL DE LA RIVIERE BEVIN","QC","02","45.97000","-74.63472","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC029","ROUGE (RIVIERE) EN AMONT DE LA CHUTE MCNEIL","QC","02","45.73639","-74.68972","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC031","BEVIN (RIVIERE) A LAKEVIEW","QC","02","45.87833","-74.56778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC032","BEVI (LAC) AU PONT-ROUTE 327","QC","02","45.96278","-74.59944","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC033","MCDONALD (LAC) A LAKEVIEW","QC","02","45.87833","-74.56778","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC034","DECHARGE DU LAC DES SEIZE ILES EN AVAL DU BARRAGE","QC","02","45.87694","-74.47861","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC035","SEIZE ILES (LAC DES)","QC","02","45.87778","-74.47889","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC038","MAROIS (LAC)","QC","02","45.85694","-74.12500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC039","SAINT-JOSEPH (LAC)","QC","02","45.97083","-74.33611","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC040","ECHO (LAC)","QC","02","45.87917","-74.02500","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC042","RAYMOND (LAC)","QC","02","46.00611","-74.15389","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Divers","JAN","DEC","Fermée"
"02LC043","SAINT-LOUIS (RUISSEAU) À 0,3 KM DE LA RIVIÈRE DU DIABLE","QC","02","46.37472","-74.50333","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC062","BAPTISTE (LAC)","QC","02","46.25000","-74.68389","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC064","SAVANE (LAC DE LA)","QC","02","46.47750","-74.47306","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02LC066","ESCALIER (LAC)","QC","02","46.42000","-74.49278","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC067","MONROE (LAC)","QC","02","46.31861","-74.51000","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu","JAN","DEC","Fermée"
"02LC068","NORD (RIVIERE DU) EN AMONT DE LA RIVIERE DONCASTER","QC","02","45.97333","-74.11083","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
"02LC069","BECS-SCIE (LAC DES)","QC","02","45.84667","-74.20694","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Saisonnier",,,"Fermée"
"02LC070","DECHARGE DU LAC LUDGER (RUISSEAU) EN AVAL DU BARRAGE LUDGER","QC","02","46.11806","-74.27639","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LC073","DU DIABLE (RIVIÈRE) À 0.1KM EN AMONT DE LA ROUTE 117","QC","02","46.11410","-74.60140","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"En service"
"02LD001","PETITE NATION (RIVIERE DE LA) A PORTAGE-DE-LA-NATION","QC","02","45.67111","-75.03556","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC","Continu",,,"Fermée"
